,EUI,Score
1498,147.7,2
1499,72.0,82
1500,65.4,41
1501,77.0,54
1502,88.3,59
1503,81.7,58
1504,113.9,2
1505,61.8,74
1506,103.0,47
1507,109.9,13
1508,96.5,44
1509,42.5,96
1510,119.1,19
1511,52.1,80
1512,91.5,76
1513,44.5,100
1514,77.0,60
1515,101.6,1
1516,99.7,19
1517,80.7,82
1518,112.4,8
1519,71.8,41
1520,41.8,94
1521,101.8,44
1522,34.6,70
1523,133.9,16
1524,40.4,62
1525,129.0,16
1526,70.5,79
1527,87.2,63
1528,89.5,56
1529,114.2,29
1530,74.4,78
1531,85.0,57
1532,80.9,65
1533,68.8,57
1534,111.8,31
1535,114.6,68
1536,65.3,15
1537,75.3,96
1538,146.2,12
1539,91.9,51
1540,73.0,77
1541,72.2,77
1542,106.9,33
1543,103.0,25
1544,82.2,74
1545,68.7,92
1546,63.4,77
1547,70.4,78
1548,87.9,58
1549,64.6,83
1550,86.8,43
1551,99.5,29
1552,79.8,49
1553,94.6,31
1554,111.9,26
1555,89.2,39
1556,90.6,25
1557,56.9,62
1558,81.6,9
1559,80.1,36
1560,76.5,75
1561,73.9,66
1562,108.4,15
1563,103.5,15
1564,129.1,8
1565,72.4,63
1566,75.1,46
1567,98.1,8
1568,77.2,19
1569,66.4,48
1570,73.1,32
1571,85.8,36
1572,89.3,32
1573,56.0,95
1574,71.1,65
1575,71.7,65
1576,67.1,81
1577,73.2,70
1578,103.6,1
1579,93.5,66
1580,87.1,26
1581,72.8,64
1582,82.6,70
1583,79.5,71
1584,121.7,35
1585,70.2,78
1586,70.8,74
1587,29.0,89
1588,87.5,55
1589,84.4,46
1590,77.4,44
1591,74.5,85
1592,82.9,39
1593,134.5,1
1594,77.5,55
1595,89.8,61
1596,86.9,20
1597,83.6,68
1598,81.1,42
1599,86.5,35
1600,70.0,70
1601,46.9,30
1602,81.6,20
1603,77.9,55
1604,75.8,85
1605,33.4,100
1606,109.4,22
1607,64.7,53
1608,76.1,68
1609,86.4,54
1610,111.4,41
1611,74.7,95
1612,48.6,99
1613,89.6,34
1614,96.6,41
1615,83.4,57
1616,133.8,3
1617,104.4,50
1618,102.9,51
1619,90.4,84
1620,92.4,30
1621,75.9,76
1622,154.7,8
1623,105.5,41
1624,77.3,31
1625,91.5,34
1626,63.5,99
1627,79.7,93
1628,62.9,87
1629,77.2,96
1630,68.1,97
1631,70.8,98
1632,55.5,100
1633,87.5,26
1634,69.7,98
1635,84.9,79
1636,100.3,88
1637,59.8,86
1638,74.3,81
1639,89.9,88
1640,75.8,98
1641,70.3,98
1642,73.9,61
1643,70.5,67
1644,87.8,93
1645,62.4,100
1646,114.9,24
1647,55.9,100
1648,69.8,83
1649,70.2,79
1650,74.3,88
1651,68.1,82
1652,78.5,64
1653,76.0,66
1654,90.0,49
1655,64.4,90
1656,67.2,86
1657,85.0,53
1658,78.5,75
1659,99.7,71
1660,62.2,89
1661,64.4,90
